g_scientificnName,g_kingdom,g_phylum,g_class,g_order,g_family,g_genus,g_higherGeographyID,g_country,g_locality,g_habitat,times_spotted
"Ablabys macracanthus (Bleeker, 1852)",Animalia,Chordata,Actinopterygii,Scorpaeniformes,Tetrarogidae,Ablabys,"Indian Ocean",Maldives,"Male Atoll","Bodu Gaa",1
"Acanthurus dussumieri Valenciennes, 1835",Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,"Indian Ocean",Maldives,"Nord Nilandhe Atoll",Cliffhanger,1
"Acanthurus leucosternon Bennett, 1833",Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,"Indian Ocean",Maldives,"Nord Nilandhe Atoll","Filitheyo House Reef",3
"Acanthurus leucosternon Bennett, 1833",Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,"Indian Ocean",Maldives,"Rasdhoo Atoll","Veligandu North",1
"Acanthurus leucosternon Bennett, 1833",Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,"Laccadive Sea",Maldives,"Male Atoll","Banana Reef",1
"Acanthurus leucosternon Bennett, 1833",Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,"Laccadive Sea",Maldives,"Male Atoll","Olhuveli Beach Resort & Spa House Reef",1
"Acanthurus lineatus (Linnaeus, 1758)",Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,"Laccadive Sea",Maldives,"Male Atoll","Hp Reef",1
"Aetobatus flagellum (Bloch and Schneider, 1801)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,"Indian Ocean",Maldives,"Kuramathi (Rasdhoo Atoll)",Caves,1
"Aetobatus flagellum (Bloch and Schneider, 1801)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,"Laccadive Sea",Maldives,"Kuredu, Lhaviyani Atoll","Kuredu House Reef",1
"Aetobatus narinari (Euphrasen, 1790)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,"Indian Ocean",Maldives,"Kuramathi (Rasdhoo Atoll)","Laguna Kuramathi",1
"Aetobatus narinari (Euphrasen, 1790)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,"Indian Ocean",Maldives,"Nord Nilandhe Atoll","Filitheyo House Reef",2
"Aetobatus narinari (Euphrasen, 1790)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,"Indian Ocean",Maldives,"South Ari Atoll",Madivaru,1
"Aetobatus narinari (Euphrasen, 1790)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,"Indian Ocean",Maldives,"Vaavu Atoll","Miyaru Kandy",2
"Aetobatus narinari (Euphrasen, 1790)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,"Laccadive Sea",Maldives,"Ari Atoll","Madivaru Rangali Manta Point",1
"Aetobatus narinari (Euphrasen, 1790)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,"Laccadive Sea",Maldives,"Dhonveli Island, North Male Atoll",Aquarium,1
"Aetobatus narinari (Euphrasen, 1790)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,"Laccadive Sea",Maldives,"Male Atoll","Guraidhoo Corner",1
"Aetobatus narinari (Euphrasen, 1790)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,"Laccadive Sea",Maldives,"Male Atoll","Kandooma Thila",1
"Aetobatus narinari (Euphrasen, 1790)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,"Laccadive Sea",Maldives,"North Ari Atoll","Fish Head",1
"Aetobatus narinari (Euphrasen, 1790)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,"Laccadive Sea",Maldives,"North Ari Atoll","Orimas Thila",1
"Aetomylaeus maculatus (Gray, 1834)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetomylaeus,"Indian Ocean",Maldives,"Kuramathi (Rasdhoo Atoll)",Madivaru,1
"Aetomylaeus maculatus (Gray, 1834)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetomylaeus,"Indian Ocean",Maldives,"Nord Nilandhe Atoll","Filitheyo House Reef",2
"Aetomylaeus maculatus (Gray, 1834)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetomylaeus,"Laccadive Sea",Maldives,"Dhonveli Island, North Male Atoll",Aquarium,1
"Aetomylaeus nichofii (Bloch & Schneider, 1801)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetomylaeus,"Indian Ocean",Maldives,"atoll sud","Origandu Finolhu",1
"Aetomylaeus nichofii (Bloch & Schneider, 1801)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetomylaeus,"Indian Ocean",Maldives,"Kuramathi (Rasdhoo Atoll)",Madivaru,1
"Aetomylaeus nichofii (Bloch & Schneider, 1801)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetomylaeus,"Indian Ocean",Maldives,"Nord Nilandhe Atoll","Filitheyo House Reef",1
"Aetomylaeus nichofii (Bloch & Schneider, 1801)",Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetomylaeus,"Indian Ocean",Maldives,"North Ari Atoll",Fesdu,1
"Alectis ciliaris (Bloch, 1787)",Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Alectis,"Indian Ocean",Maldives,"Kuramathi (Rasdhoo Atoll)",Madivaru,1
"Alectis ciliaris (Bloch, 1787)",Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Alectis,"Laccadive Sea",Maldives,"Felidhoo Atoll","Miyaru Kandu",1
"Aluterus scriptus (Osbeck, 1765)",Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Aluterus,"Laccadive Sea",Maldives,"Male Atoll","Kuda Giri Wreck",1
Amphiprion,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,"Laccadive Sea",Maldives,"Male Atoll","Nalaguraidhoo Thila",1
"Amphiprion clarkii (Bennett, 1830)",Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,"Dhuni Kohlu",Maldives,"Baa atoll ","Medhu Thila",1
"Amphiprion clarkii (Bennett, 1830)",Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,"Indian Ocean",Maldives,"Ari Atoll","Moofushi House Reef",2
"Amphiprion clarkii (Bennett, 1830)",Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,"Indian Ocean",Maldives,"Male Atoll","Waa Ggiri",1
